0	unknown error
36E	Embedded C++ does not support run-time type information
36F	Embedded C++ does not support the new cast syntax
370	Embedded C++ does not support using-declarations
371	Embedded C++ does not support "mutable"
372	Embedded C++ does not support multiple or virtual inheritance
373	invalid Microsoft version number: %s
374	pointer-to-member representation %sq has already been set for %n
375	%t1 cannot be used to designate constructor for %t2
376	invalid suffix on integral constant
377	operand of __uuidof must have a class or enum type for which __declspec(uuid("...")) has been specified
378	invalid GUID string in __declspec(uuid("..."))
379	option "vla" can be used only when compiling C
37A	variable length array with unspecified bound is not allowed
37B	an explicit template argument list is not allowed on this declaration
37C	an entity with linkage cannot have a type involving a variable length array
37D	a variable length array cannot have static storage duration
37E	%n is not a template
37F	variable length array dimension (declared %p)
380	expected a template argument
381	
382	nonmember operator requires a parameter with class or enum type
383	option "enum_overloading" can be used only when compiling C++
384	
385	qualifier of destructor name %t1 does not match type %t2
386	type qualifier ignored
387	option "nonstd_qualifier_deduction" can be used only when compiling C++
388	a function declared "dllimport" may not be defined
389	incorrect property specification; correct form is __declspec(property(get=name1,put=name2))
38A	property has already been specified
38B	__declspec(property) is not allowed on this declaration
38C	member is declared with __declspec(property), but no "get" function was specified
38D	the __declspec(property) "get" function %sq is missing
38E	member is declared with __declspec(property), but no "put" function was specified
38F	the __declspec(property) "put" function %sq is missing
390	ambiguous class member reference -- %nd1 used in preference to %nd2
391	
392	
393	
394	cannot convert pointer to member of derived class %t1 to pointer to member of base class %t2 -- base class is virtual
395	invalid directory for instantiation files: %s
396	option "one_instantiation_per_object" can be used only when compiling C++
397	
398	
399	an instantiation information file name may not be specified when compiling several input files
39A	option "one_instantiation_per_object" may not be used when compiling several input files
39B	more than one command line option matches the abbreviation "--%s":
39C	--%s
39D	type qualifiers on function types are ignored
39E	
39F	late/early tiebreaker option can be used only when compiling C++
3A0	incorrect use of va_start
3A1	incorrect use of va_arg
3A2	incorrect use of va_end
3A3	pending instantiations option can be used only when compiling C++
3A4	invalid directory for #import files: %s
3A5	an import directory can be specified only in Microsoft mode
3A6	a member with reference type is not allowed in a union
3A7	"typedef" may not be specified here
3A8	redeclaration of %n alters its access
3A9	a class or namespace qualified name is required
3AA	return type "int" omitted in declaration of function "main"
3AB	pointer-to-member representation %sq is too restrictive for %n
3AC	missing return statement at end of non-void %n
3AD	duplicate using-declaration of %no ignored
3AE	enum bit fields are always unsigned, but enum %t includes negative enumerator
3AF	option "class_name_injection" can be used only when compiling C++
3B0	option "arg_dep_lookup" can be used only when compiling C++
3B1	option "friend_injection" can be used only when compiling C++
3B2	name following "template" must be a template
3B3	
3B4	nonstandard local-class friend declaration -- no prior declaration in the enclosing scope
3B5	specifying a default argument on this declaration is nonstandard
3B6	option "nonstd_using_decl" can be used only when compiling C++
3B7	return type of function "main" must be "int"
3B8	a nontype template parameter may not have class type
3B9	a default template argument cannot be specified on the definition of a member of a class template outside the template
3BA	a return statement is not allowed in a handler of a function try block of a constructor
3BB	ordinary and extended designators cannot be combined in an initializer designation
3BC	the second subscript must not be smaller than the first
3BD	
3BE	option "extended_designators" can be used only when compiling C
3BF	declared size for bit field is larger than the size of the bit field type; truncated to %s bits
3C0	type used as constructor name does not match type %t
3C1	use of a type with no linkage to declare a variable with linkage
3C2	use of a type with no linkage to declare a function
3C3	return type may not be specified on a constructor
3C4	return type may not be specified on a destructor
3C5	incorrectly formed universal character name
3C6	universal character name specifies an invalid character
